Comment,Designator,Footprint,LCSC
"ATtiny841-SSU","ATTINY841-1,ATTINY841-2","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C219103"
"100nF","C101,C201","Capacitor_SMD:C_0805_2012Metric","C49678"
"1uF","C102,C202","Capacitor_SMD:C_0805_2012Metric","C28323"
"22pF","C104,C105,C204,C205","Capacitor_SMD:C_0805_2012Metric","C1804"
"SMBJ5.0A","D100,D200","Diode_SMD:D_SMB","C440263"
"AZ432ANTR-E1","D101,D201","Package_TO_SOT_SMD:SOT-23","C84139"
"DUMP","D103,D203","LED_SMD:LED_0805_2012Metric","C84256"
"DATA","D104,D204","LED_SMD:LED_0805_2012Metric","C84259"
"B2B-PH-K(LF)(SN)","EXT_TEMP_1,RX1,TX1,EXT_TEMP_2","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"mSMD150","F100,F200","Fuse:Fuse_1812_4532Metric","C70121"
"AVR-ISP-6","J102,J202","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","C65114"
"SM2320NSAC-TRG","Q101,Q201","Package_TO_SOT_SMD:SOT-23","C368560"
"10K","R101,R115,R120,R121,R201,R215,R220,R221","Resistor_SMD:R_0805_2012Metric","C17414"
"1K","R102,R202","Resistor_SMD:R_0805_2012Metric","C17513"
"6.8K","R103,R203","Resistor_SMD:R_0805_2012Metric","C17772"
"2.7K","R104,R204","Resistor_SMD:R_0805_2012Metric","C17530"
"220","R105,R205","Resistor_SMD:R_0805_2012Metric","0805W8F2200T5E"
"3.3OHM 3/4W","R106,R107,R108,R109,R110,R111,R112,R113,R122,R124,R125,R126,R127,R128,R129,R130,R206,R207,R208,R209,R210,R211,R212,R213,R222,R224,R225,R226,R227,R228,R229,R230","Resistor_SMD:R_1210_3225Metric","C21624"
"510R","R114,R214","Resistor_SMD:R_0805_2012Metric","C17734"
"4K7","R116,R216","Resistor_SMD:R_0805_2012Metric","C441984"
"2K2","R117,R118,R217,R218","Resistor_SMD:R_0805_2012Metric","C17520"
"CMFB103F3950FANT","R119,R219","Resistor_SMD:R_0805_2012Metric","C51597"
"EL3H7(B)(TA)-G","U2,U4","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","C32565"
"8MHZ Ceramic Resonator","Y101,Y201","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
